Brazil,Acre,-9.0238,-70.812,75879,1449
Brazil,Alagoas,-9.5713,-36.782,168272,4034
Brazil,Amapa,0.902,-52.003,103733,1488
Brazil,Amazonas,-3.4168,-65.8561,365433,12454
Brazil,Bahia,-12.5797,-41.7007,871672,17574
Brazil,Ceara,-5.4984,-39.3206,631936,16572
Brazil,Distrito Federal,-15.7998,-47.8645,369808,7388
Brazil,Espirito Santo,-19.1834,-40.3089,422024,8913
Brazil,Goias,-15.827,-49.8362,532302,14104
Brazil,Maranhao,-4.9609,-45.2744,259569,6991
Brazil,Mato Grosso,-12.6819,-56.9211,345755,9139
Brazil,Mato Grosso do Sul,-20.7722,-54.7852,239918,5335
Brazil,Minas Gerais,-18.5122,-44.555,1298176,30994
Brazil,Para,-1.9981,-54.9306,456628,12165
Brazil,Paraiba,-7.24,-36.782,283147,6549
Brazil,Parana,-25.2521,-52.0215,917441,20809
Brazil,Pernambuco,-8.8137,-36.9541,388507,13380
Brazil,Piaui,-7.7183,-42.7289,230952,4830
Brazil,Rio Grande do Norte,-5.4026,-36.9541,214488,5185
Brazil,Rio Grande do Sul,-30.0346,-51.2177,934970,23690
Brazil,Rio de Janeiro,-22.9068,-43.1729,712525,42110
Brazil,Rondonia,-11.5057,-63.5806,207030,4939
Brazil,Roraima,-2.7376,-62.0751,94270,1466
Brazil,Santa Catarina,-27.2423,-50.2189,863842,12842
Brazil,Sao Paulo,-23.5505,-46.6333,2786483,90627
Brazil,Sergipe,-10.5741,-37.3857,193271,4034
Brazil,Tocantins,-10.1753,-48.2982,154764,2414
