Brazil,Acre,-9.0238,-70.812,24601,608,
Brazil,Alagoas,-9.5713,-36.782,78483,1870,
Brazil,Amapa,0.902,-52.003,42771,659,
Brazil,Amazonas,-3.4168,-65.8561,119859,3634,
Brazil,Bahia,-12.5797,-41.7007,254790,5302,
Brazil,Ceara,-5.4984,-39.3206,214094,8382,
Brazil,Distrito Federal,-15.7998,-47.8645,159526,2250,
Brazil,Espirito Santo,-19.1834,-40.3089,110025,3129,
Brazil,Goias,-15.827,-49.8362,130316,3060,
Brazil,Maranhao,-4.9609,-45.2744,150895,3424,
Brazil,Mato Grosso,-12.6819,-56.9211,89962,2706,
Brazil,Mato Grosso do Sul,-20.7722,-54.7852,48023,840,
Brazil,Minas Gerais,-18.5122,-44.555,212565,5270,
Brazil,Para,-1.9981,-54.9306,198246,6109,
Brazil,Paraiba,-7.24,-36.782,105531,2420,
Brazil,Parana,-25.2521,-52.0215,128967,3234,
Brazil,Pernambuco,-8.8137,-36.9541,124151,7547,
Brazil,Piaui,-7.7183,-42.7289,76916,1804,
Brazil,Rio Grande do Norte,-5.4026,-36.9541,61507,2242,
Brazil,Rio Grande do Sul,-30.0346,-51.2177,124416,3385,
Brazil,Rio de Janeiro,-22.9068,-43.1729,222957,16016,
Brazil,Rondonia,-11.5057,-63.5806,54496,1125,
Brazil,Roraima,-2.7376,-62.0751,43299,587,
Brazil,Santa Catarina,-27.2423,-50.2189,146404,2218,
Brazil,Sao Paulo,-23.5505,-46.6333,801422,29944,
Brazil,Sergipe,-10.5741,-37.3857,72280,1839,
Brazil,Tocantins,-10.1753,-48.2982,49651,658,
