Brazil,Acre,-9.0238,-70.812,84687,1728
Brazil,Alagoas,-9.5713,-36.782,207422,5094
Brazil,Amapa,0.902,-52.003,115352,1792
Brazil,Amazonas,-3.4168,-65.8561,396408,13209
Brazil,Bahia,-12.5797,-41.7007,1088035,23008
Brazil,Ceara,-5.4984,-39.3206,861688,21967
Brazil,Distrito Federal,-15.7998,-47.8645,421119,9051
Brazil,Espirito Santo,-19.1834,-40.3089,505669,11259
Brazil,Goias,-15.827,-49.8362,652406,18376
Brazil,Maranhao,-4.9609,-45.2744,306952,8681
Brazil,Mato Grosso,-12.6819,-56.9211,435274,11408
Brazil,Mato Grosso do Sul,-20.7722,-54.7852,321205,7719
Brazil,Minas Gerais,-18.5122,-44.555,1724506,44068
Brazil,Para,-1.9981,-54.9306,540548,15148
Brazil,Paraiba,-7.24,-36.782,371133,8316
Brazil,Parana,-25.2521,-52.0215,1181439,29674
Brazil,Pernambuco,-8.8137,-36.9541,533195,17139
Brazil,Piaui,-7.7183,-42.7289,288416,6330
Brazil,Rio Grande do Norte,-5.4026,-36.9541,290042,6563
Brazil,Rio Grande do Sul,-30.0346,-51.2177,1176385,30276
Brazil,Rio de Janeiro,-22.9068,-43.1729,925518,53923
Brazil,Rondonia,-11.5057,-63.5806,242539,6018
Brazil,Roraima,-2.7376,-62.0751,109094,1700
Brazil,Santa Catarina,-27.2423,-50.2189,1022115,16239
Brazil,Sao Paulo,-23.5505,-46.6333,3552727,121238
Brazil,Sergipe,-10.5741,-37.3857,256119,5503
Brazil,Tocantins,-10.1753,-48.2982,191469,3072
